Linha / Techprefix;Total;Tempo Total;Cliente;Média;Média Seg; Valor Total 
5006#;102.840;58.685 min 36 seg;CONTECH;0 min 34 seg;34; R$ 2.307,60 
2131001#;13.700;7.618 min 36 seg;(CONTECH) RDF;0 min 33 seg;33; R$ 304,74 
6001#;16.412;9.452 min 12 seg;CONTECH;0 min 34 seg;34; R$ 262,32 
159601#;8.172;5.043 min 36 seg;(CONTECH) V.A.L.M SOLUCOES;0 min 37 seg;37; R$ 185,44 
9004#;12.629;7.043 min 30 seg;CONTECH;0 min 33 seg;33; R$ 197,22 
195501#;5.519;3.417 min 48 seg;(CONTECH) COIN - LUCAS FELIPE MARIANO PINTO;0 min 37 seg;37; R$ 136,70 
103601#;6.187;3.480 min 12 seg;(CONTECH) ESSENCE MULTISERVICOS;0 min 33 seg;33; R$ 128,81 
118401#;3.796;2.083 min 12 seg;(CONTECH) CORPLAR;0 min 32 seg;32; R$ 83,33 
127001#;2.707;1.589 min 18 seg;(CONTECH) QUALITY ASSESSORIA;0 min 35 seg;35; R$ 63,57 
104402#;2.510;1.382 min 54 seg;(CONTECH) IGOR;0 min 33 seg;33; R$ 55,32 
6003#;4.854;2.744 min 12 seg;CONTECH;0 min 33 seg;33; R$ 76,09 
177701#;1.630;879 min 24 seg;(CONTECH) BRASIL AUTO PECAS COMERCIO LTDA;0 min 32 seg;32; R$ 48,37 
128003#;1.553;942 min 30 seg;(CONTECH) LUNART;0 min 36 seg;36; R$ 37,70 
6014#;735;1.524 min 54 seg;CONTECH;2 min 04 seg;124; R$ 42,62 
9006#;1.762;970 min 24 seg;CONTECH;0 min 33 seg;33; R$ 27,17 
5005#;1.617;870 min 12 seg;CONTECH;0 min 32 seg;32; R$ 24,37 
116001#;768;422 min 06 seg;(CONTECH) ASSIS E MOLLERKE ASSESSORIA DE COBRANCAS;0 min 32 seg;32; R$ 16,88 
221101#;347;254 min 00 seg;(CONTECH) MONEY SOLUTIONS;0 min 43 seg;43; R$ 10,16 
221201#;423;234 min 06 seg;(CONTECH) GD SOLUCOES FINANCEIRAS (FACILE);0 min 33 seg;33; R$ 9,36 
206000#;216;374 min 54 seg;(CONTECH) LIDER SOLUCOES;1 min 44 seg;104; R$ 11,25 
6011#;154;232 min 42 seg;CONTECH;1 min 30 seg;90; R$ 6,51 
118701#;74;66 min 36 seg;(CONTECH) SAGITARIUS;0 min 54 seg;54; R$ 2,66 
6012#;39;79 min 12 seg;CONTECH;2 min 01 seg;121; R$ 2,22 
6013#;22;40 min 48 seg;CONTECH;1 min 51 seg;111; R$ 1,14 
206002#;10.563;2.759 min 18 seg;(CONTECH) LIDER SOLUCOES;0 min 15 seg;15; R$ 82,65 
